id,name,price_usd,createddate,country_name,mc_0,mc_1,mc_2,mc_3
17525,Boutique Cake Strawberry Pistachio Cake ,92.87,44:05.0,Bahrain,gifts,"food, beverages & tobacco",food items,bakery
17053,Get Well Soon Chocolates & Flowers,46.13,12:28.0,Kuwait,gifts,"food, beverages & tobacco",food items,sweets & chocolate
17525,Boutique Cake Strawberry Pistachio Cake ,92.87,44:05.0,Kuwait,gifts,"food, beverages & tobacco",food items,bakery
27300,Bright Spring | Glass Vase,97.39,56:22.0,Kuwait,flowers,home & garden,plants,flowers
24133,Baby Roses | Black Wrap,114.8,13:38.0,Kuwait,flowers,home & garden,plants,flowers
27441,Sweet Spring & Chocolates,105.03,49:24.0,Kuwait,gifts,"food, beverages & tobacco",food items,sweets & chocolate
27441,Sweet Spring & Chocolates,148.4,49:24.0,Kuwait,gifts,"food, beverages & tobacco",food items,sweets & chocolate
33428,Sun Roses Bouquet ,66,07:59.5,Kuwait,flowers,home & garden,plants,flowers
27809,Abucci Chocolate | Sweet Pink,240.66,01:24.0,Kuwait,gifts,"food, beverages & tobacco",food items,sweets & chocolate
27809,Abucci Chocolate | Sweet Pink,142.47,01:24.0,Kuwait,gifts,"food, beverages & tobacco",food items,sweets & chocolate
27809,Abucci Chocolate | Sweet Pink,222.6,01:24.0,Kuwait,gifts,"food, beverages & tobacco",food items,sweets & chocolate
27809,Abucci Chocolate | Sweet Pink,245.75,01:24.0,Kuwait,gifts,"food, beverages & tobacco",food items,sweets & chocolate
22525,"Lavender Balloon 11""",2.68,42:35.3,Kuwait,gifts,arts & entertainment,party & celebration,gift giving
35181,The Cake Shop Love,105.6,40:24.0,Kuwait,gifts,"food, beverages & tobacco",food items,bakery
37865,purple lily,177.74,44:52.3,Kuwait,flowers,home & garden,plants,flowers
45624,ETIENNE AIGNER GHOTRA,14,22:27.1,Kuwait,gifts,clothing & accessories,clothing,
48947,Sweet Affection with Laviviane ,102.8,20:48.9,Saudi Arabia,gifts,"food, beverages & tobacco",food items,bakery
41088,White and Green Vase,31.19,51:24.2,Kuwait,flowers,home & garden,plants,flowers
45624,ETIENNE AIGNER GHOTRA,14,22:27.1,Qatar,gifts,clothing & accessories,clothing,
26943,Campo Marzio Elite Roller Pen,161.7,55:42.0,Kuwait,gifts,office supplies,general office supplies,
37692,Serve Chocolate Indulgence Cake,92.4,50:52.1,Kuwait,gifts,"food, beverages & tobacco",food items,bakery
34230,Susan's Magic,187.48,07:39.0,Kuwait,flowers,home & garden,plants,flowers
